Package,LibPath,Version,Priority,Built
R2WinBUGS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1-21,NA,3.6.0
R6,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.5.0,NA,3.6.2
rappdirs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
raster,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3-13,NA,3.6.3
rbenchmark,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.0,NA,3.6.0
RBGL,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.62.1,NA,3.6.1
rcmdcheck,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.3,NA,3.6.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-2,NA,3.6.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.5,NA,3.6.2
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.900.2.0,NA,3.6.2
